IRIT-IRIT-Run1-14,topic,relevant,redundant,not_relevant,online_utility(strict),online_utility(lenient),unjudged,total_length,mean_latency,median_latency,Precison(s),Presion(l),,,run,topic,relevant,redundant,not_relevant,online_utility(strict),online_utility(lenient),unjudged,total_length,mean_latency,median_latency,Precison(s),Presion(l),,My attempt,,,,,,,,,,,,,
,,Sorted,Scenario A runs by NIST accessors (Original Without Cleaning) Results  (consistent with the overview paper),,,,,,,,,,,,,Sorted,Scenario A runs by NIST accessors (updated after Cleaning) Results  (consistent with the overview paper),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Here will shows  a plot of T vs performance,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runtag  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T (>),Precision (s),EGp   ,,,,,,,,,,
qFB_url,topic,nDCGp ,nDCG1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
HLJIT_l2r,All  ,0.3656,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
HLJIT_rank_svm,All  ,0.3274,0.2778,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
IRIT-RunB2,All  ,0.2865,0.2376,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
IRIT-RunB1,All  ,0.2142,0.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
IRIT-RunB3,All  ,0.213,0.1962,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
bjut_tmg,All  ,0.2117,0.1961,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
bjutg,All  ,0.1796,0.1456,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
bjutgs,All  ,0.1169,0.1169,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
,All  ,0.0746,0.0746,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,
,,Sorted,Scenario B runs by NIST accessors (Original Without Cleaning) Results  (consistent with the overview paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
